cve_municipio,cve_region,nombre_municipio
219,8,SAN JUAN TEITIPAC
220,1,SAN JUAN TEPEUXILA
221,4,SAN JUAN TEPOSCOLULA
222,7,SAN JUAN YAEÉ
223,7,SAN JUAN YATZONA
224,4,SAN JUAN YUCUITA
225,2,SAN LORENZO
226,8,SAN LORENZO ALBARRADAS
227,8,SAN LORENZO CACAOTEPEC
228,1,SAN LORENZO CUAUNECUILTITLA
229,7,SAN LORENZO TEXMELÚCAN
230,4,SAN LORENZO VICTORIA
231,6,SAN LUCAS CAMOTLÁN
232,5,SAN LUCAS OJITLÁN
233,8,SAN LUCAS QUIAVINÍ
234,1,SAN LUCAS ZOQUIÁPAM
235,7,SAN LUIS AMATLÁN
236,7,SAN MARCIAL OZOLOTEPEC
237,4,SAN MARCOS ARTEAGA
238,8,SAN MARTÍN DE LOS CANSECOS
239,4,SAN MARTÍN HUAMELÚLPAM
240,4,SAN MARTÍN ITUNYOSO
241,8,SAN MARTÍN LACHILÁ
242,4,SAN MARTÍN PERAS
243,8,SAN MARTÍN TILCAJETE
244,1,SAN MARTÍN TOXPALAN
245,4,SAN MARTÍN ZACATEPEC
246,7,SAN MATEO CAJONOS
247,6,CAPULÁLPAM DE MÉNDEZ
248,3,SAN MATEO DEL MAR
249,1,SAN MATEO YOLOXOCHITLÁN
250,4,SAN MATEO ETLATONGO
251,4,SAN MATEO NEJÁPAM
252,4,SAN MATEO PEÑASCO
253,2,SAN MATEO PIÑAS
254,7,SAN MATEO RÍO HONDO
255,4,SAN MATEO SINDIHUI
256,4,SAN MATEO TLAPILTEPEC
257,7,SAN MELCHOR BETAZA
258,4,SAN MIGUEL ACHIUTLA
259,4,SAN MIGUEL AHUEHUETITLÁN
260,6,SAN MIGUEL ALOÁPAM
261,4,SAN MIGUEL AMATITLÁN
262,6,SAN MIGUEL AMATLÁN
263,7,SAN MIGUEL COATLÁN
264,4,SAN MIGUEL CHICAHUA
265,3,SAN MIGUEL CHIMALAPA
266,2,SAN MIGUEL DEL PUERTO
267,6,SAN MIGUEL DEL RÍO
268,8,SAN MIGUEL EJUTLA
269,4,SAN MIGUEL EL GRANDE
270,4,SAN MIGUEL HUAUTLA
271,8,SAN MIGUEL MIXTEPEC
272,2,SAN MIGUEL PANIXTLAHUACA
273,8,SAN MIGUEL PERAS
274,4,SAN MIGUEL PIEDRAS
275,6,SAN MIGUEL QUETZALTEPEC
276,1,SAN MIGUEL SANTA FLOR
277,7,VILLA SOLA DE VEGA
278,5,SAN MIGUEL SOYALTEPEC
279,7,SAN MIGUEL SUCHIXTEPEC
280,7,VILLA TALEA DE CASTRO
281,4,SAN MIGUEL TECOMATLÁN
282,3,SAN MIGUEL TENANGO
283,4,SAN MIGUEL TEQUIXTEPEC
284,8,SAN MIGUEL TILQUIÁPAM
285,2,SAN MIGUEL TLACAMAMA
286,4,SAN MIGUEL TLACOTEPEC
287,4,SAN MIGUEL TULANCINGO
288,6,SAN MIGUEL YOTAO
289,7,SAN NICOLÁS
290,4,SAN NICOLÁS HIDALGO
291,7,SAN PABLO COATLÁN
292,8,SAN PABLO CUATRO VENADOS
293,8,SAN PABLO ETLA
294,8,SAN PABLO HUITZO
295,8,SAN PABLO HUIXTEPEC
296,6,SAN PABLO MACUILTIANGUIS
297,4,SAN PABLO TIJALTEPEC
298,8,SAN PABLO VILLA DE MITLA
299,7,SAN PABLO YAGANIZA
300,7,SAN PEDRO AMUZGOS
301,8,SAN PEDRO APÓSTOL
302,2,SAN PEDRO ATOYAC
303,7,SAN PEDRO CAJONOS
304,4,SAN PEDRO COXCALTEPEC CÁNTAROS
305,3,SAN PEDRO COMITANCILLO
306,2,SAN PEDRO EL ALTO
307,3,SAN PEDRO HUAMELULA
308,3,SAN PEDRO HUILOTEPEC
309,5,SAN PEDRO IXCATLÁN
310,8,SAN PEDRO IXTLAHUACA
311,1,SAN PEDRO JALTEPETONGO
312,2,SAN PEDRO JICAYÁN
313,1,SAN PEDRO JOCOTIPAC
314,2,SAN PEDRO JUCHATENGO
315,8,SAN PEDRO MÁRTIR
316,7,SAN PEDRO MÁRTIR QUIECHAPA
317,4,SAN PEDRO MÁRTIR YUCUXACO
318,2,SAN PEDRO MIXTEPEC
319,7,SAN PEDRO MIXTEPEC
320,4,SAN PEDRO MOLINOS
321,4,SAN PEDRO NOPALA
322,1,SAN PEDRO OCOPETATILLO
323,6,SAN PEDRO OCOTEPEC
324,2,SAN PEDRO POCHUTLA
325,8,SAN PEDRO QUIATONI
326,1,SAN PEDRO SOCHIÁPAM
327,3,SAN PEDRO TAPANATEPEC
328,8,SAN PEDRO TAVICHE
329,4,SAN PEDRO TEOZACOALCO
330,1,SAN PEDRO TEUTILA
331,4,SAN PEDRO TIDAÁ
332,4,SAN PEDRO TOPILTEPEC
333,8,SAN PEDRO TOTOLÁPAM
334,2,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO
335,6,SAN PEDRO YANERI
336,6,SAN PEDRO YÓLOX
337,6,SAN PEDRO Y SAN PABLO AYUTLA
338,8,VILLA DE ETLA
339,4,SAN PEDRO Y SAN PABLO TEPOSCOLULA
340,4,SAN PEDRO Y SAN PABLO TEQUIXTEPEC
341,4,SAN PEDRO YUCUNAMA
342,8,SAN RAYMUNDO JALPAN
343,8,SAN SEBASTIÁN ABASOLO
344,7,SAN SEBASTIÁN COATLÁN
345,2,SAN SEBASTIÁN IXCAPA
346,4,SAN SEBASTIÁN NICANANDUTA
347,7,SAN SEBASTIÁN RÍO HONDO
348,4,SAN SEBASTIÁN TECOMAXTLAHUACA
349,8,SAN SEBASTIÁN TEITIPAC
350,8,SAN SEBASTIÁN TUTLA
351,7,SAN SIMÓN ALMOLONGAS
352,4,SAN SIMÓN ZAHUATLÁN
353,7,SANTA ANA
354,1,SANTA ANA ATEIXTLAHUACA
355,1,SANTA ANA CUAUHTÉMOC
356,8,SANTA ANA DEL VALLE
357,7,SANTA ANA TAVELA
358,8,SANTA ANA TLAPACOYAN
359,6,SANTA ANA YARENI
360,8,SANTA ANA ZEGACHE
361,7,SANTA CATALINA QUIERÍ
362,7,SANTA CATARINA CUIXTLA
363,6,SANTA CATARINA IXTEPEJI
364,2,SANTA CATARINA JUQUILA
365,6,SANTA CATARINA LACHATAO
366,2,SANTA CATARINA LOXICHA
367,2,SANTA CATARINA MECHOACÁN
368,8,SANTA CATARINA MINAS
369,8,SANTA CATARINA QUIANÉ
370,4,SANTA CATARINA TAYATA
371,4,SANTA CATARINA TICUÁ
372,4,SANTA CATARINA YOSONOTÚ
373,4,SANTA CATARINA ZAPOQUILA
374,1,SANTA CRUZ ACATEPEC
375,8,SANTA CRUZ AMILPAS
376,4,SANTA CRUZ DE BRAVO
377,7,SANTA CRUZ ITUNDUJIA
378,8,SANTA CRUZ MIXTEPEC
379,4,SANTA CRUZ NUNDACO
380,8,SANTA CRUZ PAPALUTLA
